id,measure_count,note_count,8th,qtr,half,16th,other,per_measure_sig,side_by_side,suspicious
9,3,24,0,24,0,0,0,"1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0009.png,NO_8TH_NOTES (might be all quarters)
140,3,12,0,12,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0140.png,NO_8TH_NOTES (might be all quarters)
146,2,12,0,12,0,0,0,"1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0146.png,NO_8TH_NOTES (might be all quarters)
172,7,28,0,28,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0172.png,NO_8TH_NOTES (might be all quarters)
173,6,24,0,24,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0173.png,NO_8TH_NOTES (might be all quarters)
174,4,8,0,8,0,0,0,"1.0,1.0 | 1.0,1.0 | 1.0,1.0 | 1.0,1.0",/tmp/bml-book-compare/0174.png,NO_8TH_NOTES (might be all quarters)
213,5,16,0,16,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | ",/tmp/bml-book-compare/0213.png,NO_8TH_NOTES (might be all quarters)
236,6,30,0,30,0,0,0,"1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0236.png,NO_8TH_NOTES (might be all quarters)
238,6,24,0,24,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0238.png,NO_8TH_NOTES (might be all quarters)
318,4,24,0,24,0,0,0,"1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0318.png,NO_8TH_NOTES (might be all quarters)
319,4,24,0,24,0,0,0,"1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0319.png,NO_8TH_NOTES (might be all quarters)
332,2,8,0,8,0,0,0,"1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0332.png,NO_8TH_NOTES (might be all quarters)
337,4,21,0,21,0,0,0,"1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0",/tmp/bml-book-compare/0337.png,NO_8TH_NOTES (might be all quarters)
387,5,25,0,25,0,0,0,"1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0 | 1.0,1.0,1.0,1.0,1.0",/tmp/bml-book-compare/0387.png,NO_8TH_NOTES (might be all quarters)
